№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
209;Селиверстов Агафон Зиновьевич;+7 283 842 0313;468;513;46;к. Усть-Джегута, ул. Иркутская, д. 38 стр. 1, 208689;2070
210;Назарова Светлана Михайловна;8 646 022 5660;35;319;26;с. Североуральск, пер. Краснопартизанский, д. 3, 346270;7384
211;Емельянов Руслан Эдуардович;8 (493) 464-35-16;330;351;17;п. Урюпинск, пр. Володарского, д. 60 стр. 88, 981137;357
212;Регина Георгиевна Дорофеева;+7 176 417 5158;274;559;48;с. Борзя, наб. Фадеева, д. 69 стр. 1, 211143;13680
213;Колесников Рюрик Викентьевич;+79668126648;399;170;20;к. Охотск, бул. Советский, д. 26 к. 5, 819641;0
214;Лукьян Власович Фадеев;+79654274646;155;339;35;п. Ржев, бул. Покровский, д. 17 к. 5, 808204;6440
215;Мария Валериевна Жукова;8 103 411 9571;448;232;10;г. Междуреченский, пр. Железнодорожный, д. 4 стр. 2/8, 439704;0
216;Ксения Петровна Куликова;+7 (502) 235-6771;299;555;11;д. Калуга, пер. Некрасова, д. 741 стр. 9, 706565;2816
217;Федотов Карл Бориславович;+7 806 772 9391;228;110;29;г. Омск, бул. Сибирский, д. 71, 533541;0
218;Виссарион Тарасович Уваров;+7 900 869 1751;9;46;29;ст. Горно-Алтайск, ул. Большая, д. 84 стр. 7/6, 219828;1073
219;Нонна Викторовна Баранова;81073385635;309;30;18;п. Снежинск, наб. Таманская, д. 935 стр. 784, 162578;0
220;Изот Иларионович Мартынов;+79554285453;381;245;4;к. Краснодар, ш. Осипенко, д. 68 стр. 33, 354690;0
221;Максимильян Марсович Потапов;+72480261554;121;86;8;г. Алдан, пр. Гончарова, д. 6/9 к. 559, 553199;0
222;Ульян Ефстафьевич Котов;8 (899) 400-73-45;366;268;19;д. Киренск, ш. Нахимова, д. 55 стр. 10, 798733;0
223;Крюков Самсон Игоревич;8 (369) 728-63-76;270;487;22;д. Барнаул, пр. Заозерный, д. 6 стр. 398, 740598;4774
224;Тамара Максимовна Крылова;+79791841368;1;102;39;г. Юрьевец (Иван.), наб. Автомобилистов, д. 384 стр. 12, 605475;3939
225;Кошелев Лука Эдгарович;8 (926) 386-52-55;406;500;1;к. Бологое, алл. Бажова, д. 5/5 к. 1/7, 757408;94
226;Тихон Ерофеевич Рогов;+7 (561) 435-50-01;312;142;13;клх Чехов, наб. Городская, д. 5/4 к. 4/6, 007718;0
227;Дементьева Анжела Захаровна;8 (778) 767-2978;62;250;22;г. Красная Поляна, алл. Петровская, д. 122 к. 77, 573372;4136
228;Молчанов Лонгин Харлампович;8 (362) 382-8485;259;101;20;к. Майкоп, алл. Ясная, д. 1, 832587;0
229;Кира Геннадиевна Турова;+7 (371) 565-31-18;22;301;32;д. Чокурдах, ул. Интернациональная, д. 2/7 стр. 26, 402675;8928
230;Дмитриев Максим Феоктистович;+7 770 080 42 07;323;345;35;г. Иваново, ул. Правды, д. 9 стр. 9, 884675;770
231;Ювеналий Юлианович Алексеев;+74851282826;246;284;13;г. Анадырь, наб. Шаумяна, д. 7/8, 437311;494
232;Карп Гаврилович Гришин;8 506 142 91 14;169;493;42;п. Терней, ул. Невского, д. 3/9 к. 3/9, 852846;13608
233;Каллистрат Марсович Доронин;+7 (544) 544-87-27;471;287;25;г. Нефтекамск, наб. Павлика Морозова, д. 3 к. 3/9, 736573;0
234;Наина Леоновна Шестакова;8 915 267 7074;486;468;39;ст. Юрьевец (Иван.), ул. Серова, д. 4 стр. 8/1, 672810;0
235;Большаков Всемил Исидорович;8 (912) 583-5016;123;339;37;клх Киржач, пр. Подлесный, д. 7 к. 9/6, 897473;7992
236;Тихонов Наум Алексеевич;8 017 384 41 29;357;366;31;к. Катайск, наб. Дальняя, д. 901, 370010;279
237;Виноградов Фортунат Филиппович;83169071016;71;348;42;д. Яшалта, пер. Тенистый, д. 8/6 стр. 4/4, 622896;11634
238;Любосмысл Виленович Кириллов;8 459 966 52 80;495;103;4;ст. Усть-Джегута, алл. Карла Маркса, д. 68 к. 418, 397762;0
239;Антонов Вадим Герасимович;+7 345 736 2502;53;175;42;д. Бугуруслан, пр. Путейский, д. 58 стр. 74, 714827;5124
240;Ефим Демидович Шилов;8 (239) 261-12-79;374;166;50;к. Бавлы, бул. Казачий, д. 8/6, 857118;0
241;Авксентий Аверьянович Семенов;84174667985;471;153;47;ст. Шереметьево, ул. Космическая, д. 1/7, 436206;0
242;Дементий Харитонович Самойлов;85932622743;193;131;29;д. Псебай, пр. Урицкого, д. 63 стр. 76, 394606;0
243;Иванна Викторовна Шарова;8 (750) 068-79-57;170;196;34;клх Приморско-Ахтарск, бул. Магистральный, д. 7/5 стр. 9/5, 531314;884
244;Евлампий Ярославович Ковалев;8 935 386 95 67;462;416;13;клх Плес, ш. Леонова, д. 4/5 к. 291, 947506;0
245;Котов Никон Брониславович;+7 112 086 07 59;295;86;36;к. Горячинск, ш. Астраханское, д. 8/7 к. 6, 116019;0
246;Калашникова Алина Никифоровна;8 (086) 882-59-93;114;319;7;с. Мокшан, бул. Почтовый, д. 669 стр. 5/5, 101459;1435
247;Афанасьев Сергей Иларионович;+7 276 181 23 57;33;176;38;п. Котлас, алл. Волочаевская, д. 8 к. 2, 041184;5434
248;Кошелев Савватий Денисович;+7 (552) 037-82-03;332;308;49;к. Игарка, бул. Поселковый, д. 1, 814348;0
249;Изяслав Артурович Аксенов;+7 798 572 4535;58;278;33;к. Дивногорск, пр. Юности, д. 919 к. 7/5, 104330;7260
250;тов. Турова Надежда Максимовна;+7 167 967 5607;27;360;19;д. Валаам, наб. Техническая, д. 322 к. 7, 227132;6327
251;Антонина Архиповна Зиновьева;+7 (342) 112-92-44;144;90;9;ст. Орехово-Зуево, ул. Ломоносова, д. 7/4 стр. 71, 383396;0
252;Будимир Феодосьевич Одинцов;+7 961 811 2515;481;14;39;д. Сасово, пр. Восьмого Марта, д. 4 стр. 53, 484216;0
253;Эраст Васильевич Лаврентьев;+7 815 035 25 66;113;354;13;д. Плес, пер. Гагарина, д. 874 стр. 61, 825703;3133
254;Эдуард Давидович Игнатьев;8 (865) 703-2796;497;256;7;клх Тулпан, алл. Парковая, д. 226 к. 6, 300105;0
255;Сергей Феликсович Емельянов;+7 (463) 265-6087;254;138;1;г. Ачхой Мартан, ш. Пионерское, д. 6 стр. 24, 534191;0
256;Бирюкова Фаина Вячеславовна;+74660177809;123;589;36;п. Радужный, алл. Подлесная, д. 612 к. 4/8, 060505;16776
257;Станимир Евстигнеевич Михеев;8 896 355 5106;465;261;10;ст. Гусь-Хрустальный, наб. Олега Кошевого, д. 3 стр. 28, 750311;0
258;Ростислав Изотович Мартынов;8 (408) 748-08-80;448;137;25;ст. Курск, пр. Стадионный, д. 534 стр. 70, 668951;0
259;Тамара Кирилловна Яковлева;8 744 431 68 42;391;233;6;клх Владикавказ, ул. Трудовая, д. 744, 099681;0
260;Костин Силантий Изотович;+7 (501) 069-91-71;477;545;45;к. Сковородино, бул. Пархоменко, д. 6/7 к. 50, 227148;3060
261;Анисимова Елена Богдановна;+7 (626) 405-7039;470;568;23;г. Кунгур, ш. Коллективное, д. 74, 943655;2254
262;Максим Адрианович Николаев;+75257456963;5;252;11;п. Холмогоры, ш. Тюленина, д. 8 стр. 880, 191187;2717
263;Агафонова Лидия Алексеевна;+7 (875) 140-0923;23;309;11;ст. Аршан (Бурят.), ул. Автомобилистов, д. 9 к. 5, 394889;3146
264;Панфилов Евгений Эдуардович;80430913366;371;30;47;с. Томск, ш. Гончарова, д. 8, 182661;0
265;Влас Измаилович Анисимов;8 730 479 77 92;244;131;20;к. Псебай, наб. Ольховая, д. 44, 798965;0
266;Ширяев Измаил Арсеньевич;+77724219683;194;159;20;клх Чайковский, пер. Энергетиков, д. 4/4 стр. 5, 692653;0
267;Журавлева Наталья Аркадьевна;+76412667937;107;554;36;д. Нальчик, пр. Социалистический, д. 733 к. 4, 611640;16092
268;Фомин Ефрем Давидович;8 964 836 3458;282;282;4;с. Талдом, ш. Станиславского, д. 6/1 стр. 4/4, 250278;0
269;Шарапова Кира Семеновна;+7 969 038 5482;363;336;23;п. Ростов, ул. Революции, д. 2 стр. 67, 418648;0
270;Котов Феофан Трифонович;8 762 325 21 79;125;317;14;клх Волхов, пр. Фрунзе, д. 695 стр. 7/5, 693092;2688
271;Селезнева Евдокия Семеновна;+7 960 137 8220;262;458;1;г. Алапаевск, алл. Гвардейская, д. 51, 392613;196
272;Евдокия Робертовна Сысоева;+7 772 457 88 42;455;143;1;д. Ревда (Сверд.), наб. Машиностроителей, д. 2/5, 696279;0
273;Ермолай Эдгарович Третьяков;8 (142) 234-9774;338;526;10;клх Амурск, алл. Плеханова, д. 179, 285013;1880
274;Кулакова Людмила Егоровна;81985130013;126;560;43;ст. Абинск, бул. Крестьянский, д. 48 стр. 70, 512455;18662
275;Иванова Регина Григорьевна;+7 303 745 1923;363;574;26;с. Руза, ул. Мелиоративная, д. 1/5 стр. 35, 235805;5486
276;София Сергеевна Воронова;8 (634) 693-5184;386;295;32;ст. Ногинск (Моск.), бул. Орловский, д. 84 к. 66, 594398;0
277;Иванова Анастасия Георгиевна;8 203 950 35 95;205;557;26;с. Хужир, алл. Береговая, д. 1/7 стр. 10, 449443;9152
278;Нифонт Ильясович Поляков;+7 953 596 40 89;409;597;46;п. Петухово, пр. Киевский, д. 9/2 стр. 1, 453298;8648
279;Вячеслав Еремеевич Орехов;81104926862;30;399;11;п. Горно-Алтайск, пер. Панфилова, д. 855 стр. 913, 204354;4059
280;Фортунат Артемьевич Наумов;+7 083 561 23 40;47;104;39;п. Бийск, наб. Саратовская, д. 2 стр. 5/5, 996577;2223
281;Мельникова Агафья Михайловна;+7 545 860 05 58;74;343;31;г. Змеиногорск, пр. Отрадный, д. 67, 618805;8339
282;Данила Гаврилович Жданов;+7 (209) 411-10-63;183;314;30;к. Новосибирск, пр. Демьяна Бедного, д. 3/6 к. 23, 434135;3930
283;Радован Гавриилович Киселев;83551481638;358;336;8;д. Байкальск, алл. Беляева, д. 1/7 стр. 8, 977117;0
